ประทับเวลา,"How often do you ride a bike in Taipei?
(您在台北多常騎腳踏車？)","  What is the main reason you ride a bicycle?
(您騎自行車的主要原因是什麼？ )  ","  What kind of bicycle do you usually use?
(您通常使用什麼類型的自行車？)","  What time of day do you usually ride a bicycle?
(您通常在一天中的什麼時間騎自行車？)","Which places or routes do you often use when riding your bicycle?
(您常常騎自行車時會經過哪些地方或路線？)","Have you ever been involved in a bike accident in Taipei?
(您曾經在台北發生過自行車事故嗎？)","If yes, how many times has it happened in the past year?
(如果是的話，在過去一年中發生過幾次？)","If yes, where did the accident happen?
(如果是，事故發生在哪裡？)","What was the cause of the accident?
(事故發生的原因是什麼？)","Did you report the accident to the authorities?
(您有向有關部門報告事故嗎？)","Did you get hurt in the accident?
(您在事故中受傷了嗎？)","On a scale from 1 to 5, how safe do you feel while cycling in Taipei?
(在 1 到 5 的範圍內，您覺得在台北騎自行車有多安全？)","What are your biggest concerns when cycling in Taipei?
(在台北騎自行車時，您最大的顧慮是什麼？)","Which places in Taipei do you think are the most dangerous for people riding bicycles?
(您認為台北哪些地方對騎自行車的人來說最危險？
)","Do you know about any bike-friendly routes or safe paths in Taipei?
(您知道台北有哪些對自行車友善的路線或安全的路徑嗎？)","What changes do you think would make cycling safer in Taipei?
(您認為哪些改變能使在台北騎自行車更安全？)","If there were a navigation app that suggests the safest bike routes using accident data, would you use it or not?
(如果有一個導航應用程式，可以利用事故數據建議最安全的自行車路線，您會使用嗎？)","What features would you like to have in a bike safety navigation app?
(您希望自行車安全導航應用程式具備哪些功能？)",Where are you from?(你來自哪裡？),What gender are you?( 你的性別),How old are you?(你幾歲了？)
"5/4/2025, 14:59:50",Daily(每日),Commuting(通勤),YouBike,Morning rush hour(早高峰),海山站附近,No(沒有),Never(從未發生),-,-,No(沒有),No injury(沒有受傷),4,Reckless drivers(魯莽的駕駛),大同區,Yes(知道),More bike lanes(更多自行車道),Maybe(也許),Route recommendations(路線建議),International(國際),Male(男性),25-34
"5/4/2025, 15:11:46",Daily(每日),Commuting(通勤),YouBike,Evening rush hour(晚高峰),捷運站,No(沒有),Never(從未發生),無,🈚️,No(沒有),No injury(沒有受傷),3,Not enough bike lanes(自行車道不足),行人跟車都很危險,No(不知道),More bike lanes(更多自行車道),Yes(會),Real-time hazard alerts(即時危險警報),Other Taiwanese City(台灣其他城市),Female(女性),18-24
"5/4/2025, 15:16:36",Rarely(很少),Commuting(通勤),YouBike,Night(夜間),大馬路 人行道,No(沒有),Never(從未發生),無,無,No(沒有),No injury(沒有受傷),1,Not enough bike lanes(自行車道不足),沒有自行車道的地方,No(不知道),More bike lanes(更多自行車道),Yes(會),Route recommendations(路線建議),Taipei(台北),Female(女性),18-24
"5/4/2025, 15:20:48",Monthly(每月),Exercise(運動),YouBike,Night(夜間),大稻埕,No(沒有),Never(從未發生),-,-,No(沒有),No injury(沒有受傷),5,Poor visibility at night(夜間能見度差),road,Yes(知道),More traffic signs for cyclists(更多自行車騎士交通標誌),Maybe(也許),Route recommendations(路線建議),International(國際),Female(女性),25-34
"5/4/2025, 15:21:46",Monthly(每月),For fun(娛樂),YouBike,Afternoon(下午),忠孝新生到復興,No(沒有),Never(從未發生),🈚️,無,No(沒有),No injury(沒有受傷),2,Not enough bike lanes(自行車道不足),每處,No(不知道),Better road maintenance(更好的道路維護),Maybe(也許),Accident heatmaps(事故熱點圖),Taipei(台北),Female(女性),18-24
"5/4/2025, 15:30:04",Weekly(每週),For fun(娛樂),YouBike,Night(夜間),公園，公車站，人行道,No(沒有),Never(從未發生),沒發生過,沒發生過,No(沒有),No injury(沒有受傷),1,以上皆是，台北規劃超爛,作為通勤使用的話沒有安全的地方，每個都很危險,Yes(知道),More bike lanes(更多自行車道),Maybe(也許),Real-time hazard alerts(即時危險警報),Other Taiwanese City(台灣其他城市),Male(男性),18-24
"5/4/2025, 15:43:44",Monthly(每月),Commuting(通勤),YouBike,Night(夜間),捷運到家裡,No(沒有),Never(從未發生),no,no,No(沒有),No injury(沒有受傷),3,Traffic congestion(交通擁擠),跟汽車騎在同一個地方,Yes(知道),More bike lanes(更多自行車道),Maybe(也許),Alternative paths(替代路徑),Taipei(台北),Female(女性),25-34
"5/4/2025, 16:19:24",Daily(每日),All of the above ,Your own bicycle(自己的自行車),Every time I need to go somewhere ,"For exercising, I would go to Tamsui using a bicycle lane along the river ",No(沒有),Never(從未發生),No,No accident ,No(沒有),No injury(沒有受傷),5,Reckless drivers(魯莽的駕駛),Where there are no bicycle lane because Taiwanese drive like crazy ,No(不知道),If walking people can get off the bicycle lane,Yes(會),Route recommendations(路線建議),International(國際),Male(男性),25-34
"5/4/2025, 16:35:39",Rarely(很少),Exercise(運動),YouBike,Afternoon(下午),公園,Maybe(也許),1 time(1次),學校操場,Your own mistake(自己的錯誤),No(沒有),Minor injury(輕傷),3,Poor road conditions(道路狀況不佳),板橋車站的馬路那區,No(不知道),More traffic signs for cyclists(更多自行車騎士交通標誌),Yes(會),Accident heatmaps(事故熱點圖),Taipei(台北),Male(男性),25-34
"5/4/2025, 16:45:26",Monthly(每月),Commuting(通勤),YouBike,Morning rush hour(早高峰),From home to bus stop or school,Maybe(也許),1 time(1次),on the footpath.,Your own mistake(自己的錯誤),No(沒有),No injury(沒有受傷),4,Not enough bike lanes(自行車道不足),Taipei main and ximen ding,Yes(知道),More bike lanes(更多自行車道),Yes(會),Route recommendations(路線建議),International(國際),Female(女性),18-24
"5/4/2025, 16:56:30",Weekly(每週),For fun(娛樂),YouBike,Evening rush hour(晚高峰),Daan park,Maybe(也許),More than 3 times(超過3次),Accidentally bump to people on streets,Your own mistake(自己的錯誤),No(沒有),No injury(沒有受傷),4,Reckless drivers(魯莽的駕駛),Streets that dont have bike lane and cyclists must share with car,Yes(知道),Stricter traffic laws(更嚴格的交通法規),Maybe(也許),Alternative paths(替代路徑),International(國際),Female(女性),18-24
"5/4/2025, 18:34:30",Weekly(每週),Commuting(通勤),YouBike,Night(夜間),通常是捷運站到家,No(沒有),Never(從未發生),無,無,No(沒有),No injury(沒有受傷),3,Traffic congestion(交通擁擠),中正區 信義區,No(不知道),More bike lanes(更多自行車道),Yes(會),Route recommendations(路線建議),Other Taiwanese City(台灣其他城市),Male(男性),18-24
"5/4/2025, 18:43:29",Rarely(很少),Commuting(通勤),YouBike,Night(夜間),臺北火車站,No(沒有),2-3 times(2-3次),叉字入口,Bad road conditions(糟糕的路況),No(沒有),No injury(沒有受傷),2,Traffic congestion(交通擁擠),公車站,No(不知道),More traffic signs for cyclists(更多自行車騎士交通標誌),Maybe(也許),Route recommendations(路線建議),Other Taiwanese City(台灣其他城市),Male(男性),25-34
"5/4/2025, 19:20:19",Rarely(很少),For fun(娛樂),YouBike,Afternoon(下午),河濱公園,No(沒有),Never(從未發生),無,無,No(沒有),No injury(沒有受傷),3,Not enough bike lanes(自行車道不足),只有人行道的地方,Yes(知道),Better road maintenance(更好的道路維護),Yes(會),Real-time hazard alerts(即時危險警報),Other Taiwanese City(台灣其他城市),Female(女性),18-24
"5/4/2025, 20:06:22",Daily(每日),Commuting(通勤),Your own bicycle(自己的自行車),Afternoon(下午),Zhongxiao Rd.,No(沒有),Never(從未發生),-,Other vehicles(其他車輛),No(沒有),No injury(沒有受傷),3,Reckless drivers(魯莽的駕駛),Everywhere ,No(不知道),Stricter traffic laws(更嚴格的交通法規),Yes(會),Route recommendations(路線建議),International(國際),Female(女性),18-24
"5/4/2025, 21:11:22",Daily(每日),Commuting(通勤),YouBike,Afternoon(下午),Mrt to my dorm,No(沒有),Never(從未發生),No,Your own mistake(自己的錯誤),No(沒有),No injury(沒有受傷),5,Traffic congestion(交通擁擠),Road,Yes(知道),More traffic signs for cyclists(更多自行車騎士交通標誌),Yes(會),Route recommendations(路線建議),International(國際),Male(男性),"18-24, 25-34"
"5/4/2025, 21:17:27",Monthly(每月),For fun(娛樂),YouBike,Afternoon(下午),Tourist spot,No(沒有),Never(從未發生),-,-,No(沒有),No injury(沒有受傷),4,Reckless drivers(魯莽的駕駛),In the cities where a lot people walking on the side walk,No(不知道),More traffic signs for cyclists(更多自行車騎士交通標誌),Yes(會),Route recommendations(路線建議),International(國際),Female(女性),18-24
"5/4/2025, 22:43:53",Daily(每日),Commuting(通勤),YouBike,Afternoon and night,To Wanhua area and to Zhongxia Xinsheng area,No(沒有),Never(從未發生),None,None,No(沒有),No injury(沒有受傷),4,Not enough bike lanes(自行車道不足),On the road,Yes(知道),Better road maintenance(更好的道路維護),Maybe(也許),Route recommendations(路線建議),International(國際),Male(男性),25-34
"5/4/2025, 23:47:25",Rarely(很少),Commuting(通勤),YouBike,Night(夜間),捷運站到家裡（公車路線）,No(沒有),Never(從未發生),無,0,No(沒有),No injury(沒有受傷),2,Reckless drivers(魯莽的駕駛),大型車經過時,No(不知道),Stricter traffic laws(更嚴格的交通法規),No(不會),Alternative paths(替代路徑),Taipei(台北),Male(男性),25-34
"6/4/2025, 15:10:41",Rarely(很少),Exercise(運動),Your own bicycle(自己的自行車),Afternoon(下午),永和至環河便道,No(沒有),1 time(1次),永和,Other vehicles(其他車輛),No(沒有),Minor injury(輕傷),2,Not enough bike lanes(自行車道不足),與機車，汽車共用車道,No(不知道),More bike lanes(更多自行車道),Yes(會),Accident heatmaps(事故熱點圖),Taipei(台北),Female(女性),45-54
"6/4/2025, 15:53:13",Rarely(很少),Commuting(通勤),YouBike,Afternoon(下午),信義區,No(沒有),Never(從未發生),沒有,沒有,No(沒有),No injury(沒有受傷),5,Not enough bike lanes(自行車道不足),沒有自行車道的地方,No(不知道),More bike lanes(更多自行車道),Yes(會),Route recommendations(路線建議),Other Taiwanese City(台灣其他城市),Male(男性),35-44
"7/4/2025, 12:05:24",Rarely(很少),Commuting(通勤),YouBike,Depends on need,To work or church,No(沒有),Never(從未發生),N/A,N/A,No(沒有),No injury(沒有受傷),4,Poor visibility at night(夜間能見度差),Don't know because so far I feel like Taipei is pretty safe to ride a bike,No(不知道),Better road maintenance(更好的道路維護),Maybe(也許),Route recommendations(路線建議),International(國際),Female(女性),25-34
"7/4/2025, 16:15:12",Daily(每日),Commuting(通勤),Your own bicycle(自己的自行車),Night(夜間),Zhongxiao road,Yes(有),1 time(1次),Bade road,Bad road conditions(糟糕的路況),No(沒有),Minor injury(輕傷),4,Reckless drivers(魯莽的駕駛),The place where there is no bike lane.,Yes(知道),More bike lanes(更多自行車道),No(不會),Route recommendations(路線建議),International(國際),Male(男性),25-34
"7/4/2025, 17:15:00",Weekly(每週),Exercise(運動),YouBike,Morning rush hour(早高峰),University,No(沒有),Never(從未發生),-,-,No(沒有),No injury(沒有受傷),4,Reckless drivers(魯莽的駕駛),Center of city,Yes(知道),More bike lanes(更多自行車道),Maybe(也許),Route recommendations(路線建議),International(國際),Female(女性),25-34
"8/4/2025, 12:13:13",Daily(每日),Commuting(通勤),YouBike,Morning rush hour(早高峰),Along the MRT lines,No(沒有),Never(從未發生),-,-,No(沒有),No injury(沒有受傷),4,Pedestrians on bike lanes,Where there is no bike lane ,Yes(知道),More bike lanes(更多自行車道),Maybe(也許),Route recommendations(路線建議),International(國際),Female(女性),18-24
"8/4/2025, 12:23:06",Weekly(每週),For fun(娛樂),YouBike,Night(夜間),Close to home,No(沒有),Never(從未發生),/,None,No(沒有),No injury(沒有受傷),2,Reckless drivers(魯莽的駕駛),Roads with a lot of scooters,Yes(知道),More bike lanes(更多自行車道),Yes(會),Route recommendations(路線建議),International(國際),Male(男性),25-34
"9/4/2025, 16:49:27",Never(從不),Exercise(運動),rental,Evening rush hour(晚高峰),Riverside,No(沒有),Never(從未發生),None,None,No(沒有),No injury(沒有受傷),2,Not enough bike lanes(自行車道不足),No helmet,Yes(知道),Stricter traffic laws(更嚴格的交通法規),Yes(會),Route recommendations(路線建議),Taipei(台北),Female(女性),35-44
"12/4/2025, 16:26:14",Monthly(每月),Commuting(通勤),YouBike,Afternoon(下午),公園/堤防,No(沒有),Never(從未發生),沒發生,沒發生,No(沒有),No injury(沒有受傷),4,Reckless drivers(魯莽的駕駛),十字路口,No(不知道),More bike lanes(更多自行車道),Yes(會),Accident heatmaps(事故熱點圖),Taipei(台北),Male(男性),35-44
